categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Personalização,1,Themely - Ícones & Widgets,com.icons.widgets.control.center.pink.black.themely,Animoji Phone X & Emoji Maker Develop Team,kikathemepack@gmail.com,https://themely-b656c.web.app/,Personalização,4.800919,228088,14113,10.000.000+,10000000,11155752,1,0,BRL,1,1,"R$ 5,49 – R$ 224,99 por item",Classificação 12 anos,30 de mai. de 2025,1783075938,1.0.0.675,,10000+ Temas Estéticos & Widgets da Themely. Personalize Seu Celular Facilmente!,https://play.google.com/store/apps/details?id=com.icons.widgets.control.center.pink.black.themely&hl=pt&gl=br,29,65,39,crescendo,1405925,69548.6,248387.86,807260.55,154000.47,1341294.45,831602.56,alta,25,4.88,96.0,0.0,"SerpAPI, ScrapingBee"
Personalização,12,Niagara Launcher Tela Inicial,bitpit.launcher,Mellowdrop Studio,support@niagaralauncher.com,https://niagaralauncher.com,Personalização,4.8356547,204426,3192,10.000.000+,10000000,15366648,1,0,BRL,0,1,"R$ 1,79 – R$ 79,99 por item",Classificação Livre,30 de jan. de 2021,1783086512,1.16.11,,Um Launcher produtivo minimalista. Amigável para uso de uma mão. Zero anúncios.,https://play.google.com/store/apps/details?id=bitpit.launcher&hl=pt&gl=br,19,66,37,crescendo,1637352,18558.92,66281.84,215415.98,41094.74,357921.94,221911.6,alta,25,4.04,80.0,20.0,"SerpAPI, ScrapingBee"
Personalização,4,Temas e trocador de ícones,com.eco.iconchanger.themes,Eco Mobile Style,iconchanger.android@app.ecomobile.vn,https://www.ecomobile.vn/,Personalização,4.536097,178937,4677,10.000.000+,10000000,13362175,1,0,BRL,1,1,"R$ 1,99 – R$ 519,99 por item",Classificação Livre,9 de mai. de 2023,1783147291,1.1.21,,"Fácil de criar sua própria tela inicial com widgets, ícone de aplicativo e temas",https://play.google.com/store/apps/details?id=com.eco.iconchanger.themes&hl=pt&gl=br,19,60,35,normal,1414849,102974.25,367765.18,1195236.83,228014.41,1985931.96,1231277.82,alta,25,4.4,88.0,12.0,"SerpAPI, ScrapingBee"
Personalização,8,"ThemeArt - Widgets, App icons",com.themeart.icons.widgets,Lanie,ngoclanle045@gmail.com,https://lanie-studio.vercel.app/,Personalização,,,,5.000.000+,5000000,7446011,1,0,BRL,1,1,"R$ 25,99 – R$ 154,99 por item",Classificação Livre,,,Varies with device,,"Personalize sua tela inicial com ícones, temas e widgets estilosos!",https://play.google.com/store/apps/details?id=com.themeart.icons.widgets&hl=pt&gl=br,67,0,34,normal,697834,17775.18,63482.77,206319.0,39359.32,342806.95,212540.31,média,0,0.0,0.0,0.0,"SerpAPI, ScrapingBee"
Personalização,11,Launcher and Themes,com.micontrolcenter.customnotification,Cards,support.ioslauncher@cardsapp.com,https://cardsapp.com/ioslauncher,Personalização,4.6324654,189126,1715,10.000.000+,10000000,16979085,1,0,BRL,1,1,"R$ 5,49 – R$ 549,99 por item",Classificação Livre,7 de jan. de 2023,1745250423,1.3.12,,O Launcher e os Temas fornecerão interface e layout modernos para telefones Android,https://play.google.com/store/apps/details?id=com.micontrolcenter.customnotification&hl=pt&gl=br,19,34,29,normal,1817255,140699.51,502498.25,1633119.3,311548.91,2713490.54,1682364.13,alta,25,4.6,92.0,4.0,"SerpAPI, ScrapingBee"
Personalização,14,"Themepack - App Icons, Widgets",com.iconchanger.widget.theme.shortcut,YoloTech,xmind0303@gmail.com,https://icon-changer-studio.web.app,Personalização,4.775239,1293274,84647,100.000.000+,100000000,115008108,1,0,BRL,1,1,"R$ 4,99 – R$ 204,99 por item",Classificação 14 anos,10 de mar. de 2022,1782990215,1.0.0.4165,,"Tema elegante, papel de parede e widget com criação para decoração de telefone",https://play.google.com/store/apps/details?id=com.iconchanger.widget.theme.shortcut&hl=pt&gl=br,0,45,27,gigante,16032316,614971.04,2196325.16,7138056.76,1361721.6,11860155.84,7353296.62,alta,25,4.84,96.0,0.0,"SerpAPI, ScrapingBee"
Personalização,9,Smart Launcher 6,ginlemon.flowerfree,Smart Launcher Team,support@smartlauncher.net,http://www.smartlauncher.net/,Personalização,4.6893435,678359,16862,50.000.000+,50000000,53236767,1,0,BRL,0,1,"R$ 2,59 – R$ 149,99 por item",Classificação Livre,11 de jul. de 2012,1782598100,6.6 build 012,,O Smart Launcher está de volta e foi completamente renovado!,https://play.google.com/store/apps/details?id=ginlemon.flowerfree&hl=pt&gl=br,0,45,27,gigante,7186217,197351.46,704826.63,2290686.56,436992.51,3806063.82,2359759.57,alta,25,4.72,92.0,4.0,"SerpAPI, ScrapingBee"
Personalização,20,Widgets e Temas: iWidgets,colorwidgets.ios.widget.topwidgets,AI Photo Team,support@atlaszz.com,https://atlaszz.com,Estilo de vida,4.741396,560054,20315,50.000.000+,50000000,62548692,1,0,BRL,1,1,"R$ 8,49 – R$ 149,99 por item",Classificação Livre,31 de mar. de 2023,1776776269,1.8.0,,"Temas, widgets, papéis de parede e ícones elegantes para decoração do telefone",https://play.google.com/store/apps/details?id=colorwidgets.ios.widget.topwidgets&hl=pt&gl=br,0,39,25,gigante,7084164,187336.62,669059.34,2174442.86,414816.79,3612920.44,2240010.67,alta,25,4.96,100.0,0.0,"SerpAPI, ScrapingBee"
Personalização,7,Icon Pack Studio,ginlemon.iconpackstudio,Smart Launcher Team,ips.support@smartlauncher.net,http://www.iconpackstudio.com,Personalização,3.936709,19819,666,10.000.000+,10000000,11213551,1,0,BRL,0,1,"R$ 4,99 – R$ 61,99 por item",Classificação Livre,5 de mai. de 2017,1773335451,2.3 build 010,,O criador e editor definitivo de pacotes de ícones,https://play.google.com/store/apps/details?id=ginlemon.iconpackstudio&hl=pt&gl=br,49,39,20,normal,1070865,13807.36,49312.01,160264.03,30573.45,266284.85,165096.61,alta,25,3.6,60.0,32.0,"SerpAPI, ScrapingBee"
Personalização,13,GO Launcher2016 Tema Wallpaper,com.gau.go.launcherex,go live llc,goforlauncherteam@gomo.com,http://www.gomo.com,Personalização,4.5001326,7211475,68587,100.000.000+,100000000,304872041,1,0,BRL,1,1,"R$ 2,53 – R$ 444,99 por item",Classificação Livre,22 de jan. de 2011,1756292777,3.42,,Moderna substituição da tela&Recursos inteligentes,https://play.google.com/store/apps/details?id=com.gau.go.launcherex&hl=pt&gl=br,0,12,19,gigante,36836253,1955702.41,6984651.46,22700117.25,4330483.91,37717117.9,23384613.1,alta,25,4.76,92.0,4.0,"SerpAPI, ScrapingBee"
Personalização,15,Wallpaper Tema +HOME Launcher,jp.co.a_tm.android.launcher,+HOME by Ateam Entertainment,info+android@atm-plushome.com,https://www.ateam-entertainment.com/ja/services/,Personalização,3.955322,346831,10038,10.000.000+,10000000,38729637,1,0,BRL,1,1,"R$ 2,79 – R$ 3,19 por item",Classificação Livre,27 de out. de 2011,1782451274,4.1.9,,Personalize seu smartphone comlindos temas e papel de parede HD!,https://play.google.com/store/apps/details?id=jp.co.a_tm.android.launcher&hl=pt&gl=br,19,49,15,normal,4688475,8716.65,31130.89,101175.39,19301.15,168106.8,104226.22,alta,25,4.16,80.0,12.0,"SerpAPI, ScrapingBee"
Personalização,6,Nova Launcher,com.teslacoilsw.launcher,Instabridge Sweden AB,support@novalauncher.com,http://novalauncher.com,Ferramentas,4.169217,1376283,56924,100.000.000+,100000000,112565132,1,0,BRL,1,1,"R$ 4,99 – R$ 529,99 por item",Classificação Livre,23 de fev. de 2012,1782900158,88300 (8.8.3),,Customize your home screen!,https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher&hl=pt&gl=br,0,29,15,gigante,14252642,1379565.64,4927020.15,16012815.49,3054752.49,26605908.81,16495663.46,alta,25,2.4,32.0,64.0,"SerpAPI, ScrapingBee"
Personalização,22,"MyICON - Mudar ícones, Temas",com.myicon.themeiconchanger,Zhengzhou Junying TECHNOLOGY CO LTD,myicons2021@yandex.com,https://ibeijixing.com,Personalização,3.4501348,94191,4147,10.000.000+,10000000,20250218,1,0,BRL,0,1,"R$ 4,99 – R$ 99,99 por item",Classificação Livre,29 de mar. de 2021,1734422392,1.2.3,,"MyICON oferece ícones, temas e papéis de parede para decorar a tela de celular.",https://play.google.com/store/apps/details?id=com.myicon.themeiconchanger&hl=pt&gl=br,49,8,12,normal,1985823,28894.18,103193.51,335378.91,63979.98,557244.96,345491.88,alta,25,4.0,72.0,20.0,"SerpAPI, ScrapingBee"
Personalização,10,Temas,com.thegosa.miuithemes,The Gosa Design,support@thethemes.co,https://thethemes.co,Personalização,4.2443643,743935,2032,50.000.000+,50000000,64489752,1,0,BRL,1,1,"R$ 1,19 – R$ 119,99 por item",Classificação Livre,21 de out. de 2019,1772224806,8.2,,Mais de 3.000 temas e mais de 9.000 papéis de parede para todos!,https://play.google.com/store/apps/details?id=com.thegosa.miuithemes&hl=pt&gl=br,0,18,12,gigante,6648564,134874.3,481693.94,1565505.29,298650.24,2601147.25,1612711.3,alta,25,4.44,84.0,8.0,"SerpAPI, ScrapingBee"
Personalização,23,Theme,com.heytap.themestore,HeyTap,support_EU@heytap.com,https://brand.heytap.com/en/service.html,Personalização,,,,1.000.000.000+,1000000000,1058863712,1,0,BRL,1,1,"R$ 5,49 – R$ 349,99 por item",Classificação Livre,,1781163125,9.9.6_expt_eu_gp,,Personalize seu telefone com várias funções,https://play.google.com/store/apps/details?id=com.heytap.themestore&hl=pt&gl=br,0,9,0,gigante,146438819,9443242.2,33725864.99,109609061.23,20910036.3,182119670.96,112914196.0,média,8,3.5,62.5,37.5,"SerpAPI, ScrapingBee"
